user_id,via,rating
moderate_risk,1 Poniente,3.88
moderate_risk,1 de Enero,4.21
moderate_risk,1 de Mayo,4.03
moderate_risk,10 Poniente,3.8
moderate_risk,10 de Diciembre,3.57
moderate_risk,10 de Julio,4.39
moderate_risk,11 de Marzo,4.05
moderate_risk,11 de Septiembre,4.16
moderate_risk,13 Oriente,3.93
moderate_risk,13 de Abril,3.96
moderate_risk,14 Norte,3.42
moderate_risk,19 de Febrero,4.09
moderate_risk,2 Poniente,3.48
moderate_risk,20 de Enero,3.99
moderate_risk,25 de Octubre,4.1
moderate_risk,28 de Octubre,3.69
moderate_risk,3 Sur,4.87
moderate_risk,4 Sur,3.08
moderate_risk,4 de Julio,4.72
moderate_risk,4 de Septiembre,4.02
moderate_risk,5 de Octubre,4.0
moderate_risk,6 Poniente,4.88
moderate_risk,7 Norte,4.22
moderate_risk,7 Oriente,4.0
moderate_risk,7 de Enero,3.82
moderate_risk,7 de Línea,4.15
moderate_risk,7 de Noviembre,4.54
moderate_risk,8 Norte,3.22
moderate_risk,8 de Julio,5.0
moderate_risk,9 Norte,4.34
moderate_risk,9 Oriente,4.32
moderate_risk,A. Armado Jofré,4.02
moderate_risk,A. Arriagada,3.42
moderate_risk,A. Gorostiaga,3.23
moderate_risk,A. Pareja,4.0
moderate_risk,A. Valenzuela,4.7
moderate_risk,Abanico,4.0
moderate_risk,Abate Molina,3.99
moderate_risk,Abel,5.0
moderate_risk,Abel Gallejos,4.85
moderate_risk,Abelardo Núñez,4.84
moderate_risk,Abraham Lincoln,2.62
moderate_risk,Acceso Bahía Azul,4.35
moderate_risk,Acceso Fuerte Viejo,3.83
moderate_risk,Acceso Norte a Los Ángeles,3.77
moderate_risk,Acceso Sur Arauco,3.35
moderate_risk,Acceso Sur a Penco,4.63
moderate_risk,Acceso Sur al Puerto,4.04
moderate_risk,Acceso a Coliumo,4.16
moderate_risk,Acceso a Santa Bárbara,5.0
moderate_risk,Achecnar,3.48
moderate_risk,Adolfo Bioy Cáceres,3.43
moderate_risk,Aeropuerto Carriel Sur Terminal,5.0
moderate_risk,Aguas Calientes,3.8
moderate_risk,Aguirre Cerda,4.24
moderate_risk,Agustín Abarca,4.73
moderate_risk,Agustín Carrillo,3.51
moderate_risk,Agustín Eyzaguirre,3.7
moderate_risk,Agustín Ross,4.61
moderate_risk,Ahumada,3.79
moderate_risk,Aisén,4.36
moderate_risk,Alava,4.72
moderate_risk,Alberto Corro,3.31
moderate_risk,Alberto Loosli,4.0
moderate_risk,Alberto Moller,5.0
moderate_risk,Alberto Vergara,3.75
moderate_risk,Alborada,3.46
moderate_risk,Alcalde Abdón Pérez Torres,4.66
moderate_risk,Alcalde Anselmo Chávez,3.67
moderate_risk,Alcalde Antonio Palacios,3.99
moderate_risk,Alcalde Donoso,4.18
moderate_risk,Alcalde Francisco Vial Fuente,3.26
moderate_risk,Alcalde José Ríos Ruiz,3.97
moderate_risk,Alcalde José del Carmen Soto,4.39
moderate_risk,Alcalde Juan José Vergara,5.0
moderate_risk,Alcalde Luis F. Sharpe,3.35
moderate_risk,Alcalde Pablo Valdovino,3.8
moderate_risk,Alcalde René Mendoza,4.31
moderate_risk,Alcalde Sebastián Correa M.,5.0
moderate_risk,Alcalde Vera,4.54
moderate_risk,Alcalde de Mar Primitivo Riffo Arrepol,4.44
moderate_risk,Alcaldesa Rosa Elena Bustos H.,3.01
moderate_risk,Alcudia,2.6
moderate_risk,Alcán,4.46
moderate_risk,Alcántara,3.63
moderate_risk,Alejandro Alvear,4.19
moderate_risk,Alejandro Flores,4.83
moderate_risk,Alejandro Pérez,4.56
moderate_risk,Alemania,3.06
moderate_risk,Alessandri Palma,4.89
moderate_risk,Alessandro Volta,5.0
moderate_risk,Alfonso Baeza,4.43
moderate_risk,Alfonso Calderón,3.68
moderate_risk,Alfredo Irarrázaval,3.38
moderate_risk,Alfredo Pacheco Barrera,3.4
moderate_risk,Alfredo Salgado,5.0
moderate_risk,Alfredo Sarpi,4.63
moderate_risk,Algarrobo,2.02
moderate_risk,Alhué,3.32
moderate_risk,Aliwen,4.21
moderate_risk,Aljibe,4.36
moderate_risk,Almagro,1.81
moderate_risk,Almería,4.24
moderate_risk,Almirante Juan Latorre,4.79
moderate_risk,Almirante Latorre,2.0
moderate_risk,Almirante Riveros,3.9
moderate_risk,Almirante Riveros Norte,3.81
moderate_risk,Almirante Riveros Sur,3.54
moderate_risk,Almirante Villarroel,1.52
moderate_risk,Alnso Sánchez,2.87
moderate_risk,Alofantus 1,4.13
moderate_risk,Alofantus 3,3.66
moderate_risk,Alofantus 4,3.23
moderate_risk,Alonso García de Ramón,2.37
moderate_risk,Alonso de Najera,3.17
moderate_risk,Alsacia,3.6
moderate_risk,Alto Nahuelbuta,4.92
moderate_risk,Altona,3.7
moderate_risk,Altos de Andalué,3.39
moderate_risk,Altos del Refugio,3.82
moderate_risk,Altos del Refugio 2,4.12
moderate_risk,Altos del Refugio 3,2.72
moderate_risk,Alvarez de Toledo,4.39
moderate_risk,Amador Salazar,3.41
moderate_risk,Ambrosio O'Higgins,2.12
moderate_risk,Ameríca del Sur,3.81
moderate_risk,Amperes,3.36
moderate_risk,Ampurias,4.94
moderate_risk,América,4.38
moderate_risk,Américo Vespucio,4.37
moderate_risk,Andalicán,4.05
moderate_risk,Andalién,2.82
moderate_risk,Andalucía,4.48
moderate_risk,Andes,4.48
moderate_risk,Andorra,4.41
moderate_risk,Andrés Alcázar,4.83
moderate_risk,Andrés Bello,4.24
moderate_risk,Andrés Bello 5,3.34
moderate_risk,Andrés Gallegos,4.53
moderate_risk,Andrés Lamas,4.52
moderate_risk,Andrés Madariaga,3.26
moderate_risk,Aniñir,4.57
moderate_risk,Anselmo Chávez,4.17
moderate_risk,Antilco,3.05
moderate_risk,Antillanca,3.75
moderate_risk,Antinao,4.49
moderate_risk,Antonio Farabajano,5.0
moderate_risk,Antonio Tapia,3.24
moderate_risk,Antonio Varas,2.87
moderate_risk,Antonio Vereno,3.51
moderate_risk,Antonio de Padua,3.66
moderate_risk,Antu,4.18
moderate_risk,Antuco,4.26
moderate_risk,Aníbal Troncoso,4.53
moderate_risk,Aníbal de las Casas,4.16
moderate_risk,Applegath,4.13
moderate_risk,Arancibia,4.42
moderate_risk,Araucarias,4.14
moderate_risk,Arauco Bajo,3.86
moderate_risk,Arces,4.11
moderate_risk,Argos,4.36
moderate_risk,Armando Moock Bousquet,3.87
moderate_risk,Arrayan Norte,4.53
moderate_risk,Arrayan Sur,3.74
moderate_risk,Arriagada,4.48
moderate_risk,Arteaga Alemparte,2.78
moderate_risk,Arturo Aldunate,4.93
moderate_risk,Arturo Godoy,3.87
moderate_risk,Arturo Lablee Marchand,3.22
moderate_risk,Arturo Prat Chacón,3.24
moderate_risk,Arturo Prat Interior,4.82
moderate_risk,Arturo Pérez 614,4.75
moderate_risk,Arturo de Bretaña,4.38
moderate_risk,Asturias,3.37
moderate_risk,Atacameños,4.07
moderate_risk,Atahualpa,3.59
moderate_risk,Atalaya,3.75
moderate_risk,Atenas,4.81
moderate_risk,Ateuco,4.21
moderate_risk,Atlanta,3.84
moderate_risk,Atlántico,4.33
moderate_risk,Auco,4.25
moderate_risk,Augusto D'Halmar,2.82
moderate_risk,Augusto Heinz,3.96
moderate_risk,Augusto Reyes Donoso,3.66
moderate_risk,Augusto Winter,3.71
moderate_risk,Aureliano Oyarzún,4.0
moderate_risk,Auristela Dávila,4.39
moderate_risk,Aurora y Magdalena Mira,3.29
moderate_risk,Austria,4.25
moderate_risk,Autopista Concepción - Cabrero,3.33
moderate_risk,Avelino Muñoz,3.73
moderate_risk,Avellano,3.46
moderate_risk,Avenida 1,5.0
moderate_risk,Avenida 105,4.75
moderate_risk,Avenida 2 Poniente,5.0
moderate_risk,Avenida 3 Poniente,4.56
moderate_risk,Avenida Alcázar,4.75
moderate_risk,Avenida Almirante Latorre,4.84
moderate_risk,Avenida Alto Bío Bío,4.04
moderate_risk,Avenida Altos de San Jorge,4.87
moderate_risk,Avenida Andalién,4.42
moderate_risk,Avenida Andalué,4.14
moderate_risk,Avenida Andalué Norte,4.55
