user_id,via,rating
moderate_risk,1 Norte,4.21
moderate_risk,1 Oriente,4.24
moderate_risk,1 Poniente,3.9
moderate_risk,1 Sur,3.9
moderate_risk,1 de Enero,3.9
moderate_risk,10 Norte,3.9
moderate_risk,10 de Julio,3.9
moderate_risk,11 Norte,3.9
moderate_risk,11 de Marzo,3.9
moderate_risk,12 Norte,3.9
moderate_risk,12 de Febrero,3.9
moderate_risk,12 de Octubre,3.9
moderate_risk,13 Norte,3.9
moderate_risk,13 de Abril,3.9
moderate_risk,14 Norte,3.9
moderate_risk,16 Norte,3.9
moderate_risk,17 Norte,3.9
moderate_risk,18 de Septiembre,3.9
moderate_risk,19 de Febrero,3.9
moderate_risk,2 Norte,3.9
moderate_risk,2 Oriente,3.9
moderate_risk,2 Poniente,3.9
moderate_risk,2 Sur,3.9
moderate_risk,20 de Octubre,3.9
moderate_risk,21 de Mayo,3.9
moderate_risk,28 de Octubre,3.9
moderate_risk,3 Norte,3.9
moderate_risk,3 Oriente,3.9
moderate_risk,3 Poniente,3.9
moderate_risk,3 Sur,3.9
moderate_risk,30 de Octubre,4.24
moderate_risk,4 Norte,3.9
moderate_risk,4 Poniente,3.9
moderate_risk,4 Sur,3.9
moderate_risk,5 Poniente,4.24
moderate_risk,5 Sur,3.9
moderate_risk,5 de Abril,3.9
moderate_risk,5 de Octubre,3.9
moderate_risk,6 Norte,3.9
moderate_risk,6 Poniente,3.9
moderate_risk,6 Sur,3.9
moderate_risk,7 Norte,3.9
moderate_risk,7 Poniente,3.9
moderate_risk,7 Sur,3.9
moderate_risk,7 de Enero,3.9
moderate_risk,7 de Noviembre,3.9
moderate_risk,8 Norte,3.9
moderate_risk,8 Oriente,3.9
moderate_risk,8 Poniente,3.9
moderate_risk,8 de Julio,3.9
moderate_risk,9 Norte,3.9
moderate_risk,9 Oriente,3.9
moderate_risk,9 de Marzo,3.9
moderate_risk,A. Armado Jofré,3.9
moderate_risk,A. Humberto Pantoja,3.9
moderate_risk,A. M. Neira,3.9
moderate_risk,A. Pareja,3.9
moderate_risk,A. Valenzuela,3.9
moderate_risk,Abate Juan Nuix,3.9
moderate_risk,Abate Molina,3.9
moderate_risk,Abdón Cifuentes,3.95
moderate_risk,Abraham Lincoln,3.9
moderate_risk,Abraham Romero,3.9
moderate_risk,Abraham Serrato,3.9
moderate_risk,Acario Cotapos,3.9
moderate_risk,Acceso,4.23
moderate_risk,Acceso Bahía Azul,3.9
moderate_risk,Acceso Base Naval,3.9
moderate_risk,Acceso Sur a Penco,3.9
moderate_risk,Acceso a Ruta 146,3.9
moderate_risk,Acevedo Hernández,3.9
moderate_risk,Achao,3.9
moderate_risk,Achecnar,3.9
moderate_risk,Adolfo Couve,3.9
moderate_risk,Adriano Carvajal,3.9
moderate_risk,Aeropuerto Carriel Sur Terminal,3.9
moderate_risk,Agustín Abarca,3.9
moderate_risk,Agustín Carrillo,3.9
moderate_risk,Agustín de Jáuregui,3.9
moderate_risk,Ainavillo,4.14
moderate_risk,Ainoha,3.9
